n_palabras,tiempo
10000.0,0.15431785583496094
20000.0,0.32399582862854004
30000.0,0.509800910949707
40000.0,0.7046689987182617
50000.0,0.8580377101898193
60000.0,0.9387545585632324
70000.0,1.2286655902862549
80000.0,1.3406708240509033
90000.0,1.5689620971679688
100000.0,1.6571128368377686
110000.0,1.9268598556518555
120000.0,2.3450229167938232
130000.0,2.4221551418304443
140000.0,2.450706720352173
150000.0,2.5650713443756104
160000.0,2.790863513946533
170000.0,2.9503285884857178
180000.0,3.4385387897491455
190000.0,3.149980068206787
200000.0,4.038080215454102
210000.0,3.4010157585144043
220000.0,3.776853084564209
230000.0,4.61461877822876
240000.0,4.346329927444458
250000.0,5.394275903701782
260000.0,5.490095376968384
270000.0,6.623682260513306
280000.0,5.9230711460113525
290000.0,6.101613759994507
300000.0,6.407868146896362
310000.0,6.790912389755249
320000.0,7.180027008056641
330000.0,7.294345855712891
340000.0,7.0081586837768555
350000.0,7.61487889289856
360000.0,7.724363088607788
370000.0,8.23015570640564
380000.0,7.94088888168335
390000.0,7.9073686599731445
400000.0,8.760824203491211
410000.0,8.398759603500366
420000.0,8.860635995864868
430000.0,9.503523826599121
440000.0,9.278388977050781
450000.0,10.019370079040527
460000.0,9.724151611328125
470000.0,10.34390640258789
480000.0,10.983636617660522
490000.0,10.408071756362915
500000.0,11.62268614768982
510000.0,11.83719515800476
520000.0,11.541706562042236
530000.0,10.737254858016968
540000.0,12.267280340194702
550000.0,12.999763250350952
560000.0,13.561424732208252
570000.0,13.75099515914917
580000.0,12.760582447052002
590000.0,12.15090012550354
600000.0,13.422616720199585
610000.0,12.714432001113892
620000.0,12.53100848197937
630000.0,12.425150156021118
640000.0,15.232642650604248
650000.0,13.093931913375854
660000.0,14.175152063369751
670000.0,17.174399614334106
680000.0,14.954186201095581
690000.0,16.89280676841736
700000.0,16.85024333000183
710000.0,17.375657081604004
720000.0,17.33530592918396
730000.0,18.401886463165283
740000.0,19.796844244003296
750000.0,17.89584255218506
760000.0,21.202499866485596
770000.0,21.342859745025635
780000.0,22.368090867996216
790000.0,22.67134404182434
800000.0,23.132128953933716
810000.0,23.390364408493042
820000.0,24.704025268554688
830000.0,22.505847692489624
840000.0,27.821378469467163
850000.0,23.740392684936523
860000.0,28.26127791404724
870000.0,27.403131246566772
880000.0,27.6440486907959
890000.0,30.550211906433105
900000.0,30.092408895492554
910000.0,26.85812497138977
920000.0,29.375263214111328
930000.0,31.363349199295044
940000.0,31.788850784301758
950000.0,31.806897401809692
960000.0,31.82832670211792
970000.0,33.581812620162964
980000.0,32.11600184440613
990000.0,38.27333950996399
1000000.0,33.74663496017456
