n_palabras,tiempo
100000.0,0.8315048217773438
150000.0,1.5658292770385742
200000.0,3.1954123973846436
250000.0,4.373430013656616
300000.0,4.3361382484436035
350000.0,5.9835522174835205
400000.0,6.242909908294678
450000.0,6.765902757644653
500000.0,8.353428602218628
550000.0,8.719512462615967
600000.0,9.652596712112427
650000.0,9.272573947906494
700000.0,10.742371559143066
750000.0,12.330159187316895
800000.0,11.600154399871826
850000.0,13.942978620529175
900000.0,14.107471942901611
950000.0,14.167046308517456
1000000.0,15.346488237380981
